"","id","stNumber","stName","type","capacity"
"462",7626123,1000,"bay st","Ring",1
"463",7626124,4850,"dundas st w",NA,1
"464",7626125,15,"dundonald st","Ring",1
"465",7626126,180,"elizabeth st",NA,1
"466",7626127,113,"lansdowne ave","Rack",1
"467",7626128,149,"hallam st","Ring",1
"468",7626129,438,"university ave","Ring",1
"469",7626131,194,"wellesley st e",NA,1
"470",7626132,30,"western battery rd",NA,1
"471",7626133,100,"baldwin st",NA,1
"472",7626134,8,"assiniboine rd","Rack",1
"473",7626135,3211,"danforth ave",NA,1
"474",7626136,330,"dupont st",NA,1
"475",7626137,33,"walton st",NA,1
"476",7626138,722,"dufferin st",NA,1
"477",7626139,573,"yonge st",NA,1
"478",7626140,2,"st clair ave e","Ring",1
"479",7626141,219,"fort york blvd",NA,1
"480",7626142,77,"howard st",NA,1
"481",7626143,66,"edward st",NA,1
"482",7626144,87,"avenue rd","Ring",1
"483",7626145,9,"morrow ave",NA,1
"484",7626146,44,"gerrard st e","Ring",1
"485",7626147,61,"hanna ave",NA,1
"486",7626148,398,"avenue rd",NA,1
"487",7626149,517,"runnymede rd","Ring",1
"488",7626150,1851,"danforth ave",NA,1
"489",7626151,163,"queen st e",NA,1
"490",7626152,1881,"eglinton ave w","Ring",1
"491",7626153,396,"avenue rd",NA,1
"492",7626154,175,"dundas st e","Ring",1
"493",7626155,149,"college st","Ring",1
"494",7626156,102,"atlantic ave",NA,1
"495",7626157,2992,"bloor st w",NA,1
"496",7626159,46,"wellesley st e","Ring",1
"497",7626160,563,"crawford st",NA,1
"498",7626161,191,"eglinton ave e","Ring",1
"499",7626162,3,"queen st e",NA,1
"500",7626163,145,"queens quay w",NA,1
"501",7626164,2803,"dundas st w","Ring",1
"502",7626165,180,"elizabeth st",NA,1
"503",7626166,1499,"queen st w",NA,1
"504",7626168,55,"bloor st w","Ring",1
"505",7626170,230,"college st","Ring",1
"506",7626171,504,"vaughan rd",NA,1
"507",7626172,1505,"gerrard st e",NA,1
"508",7626173,480,"st clair ave w","Ring",1
"509",7626174,720,"mount pleasant rd",NA,1
"510",7626175,488,"dupont st",NA,1
"511",7626176,155,"college st","Ring",1
"512",7626177,77,"cottingham st",NA,1
"513",7626178,1,"eglinton ave e","Ring",1
"514",7626179,320,"danforth ave",NA,1
"515",7626180,36,"yonge st",NA,1
"516",7626181,1497,"queen st w",NA,1
"517",7626182,1148,"weston rd",NA,1
"518",7626183,47,"claremont st",NA,1
"519",7626184,2202,"dundas st w","Ring",1
"520",7626185,73,"mc caul st","Ring",1
"521",7626186,50,"queen st w","Ring",1
