_id,OBJECTID,ID,ADDRESSNUMBERTEXT,ADDRESSSTREET,FRONTINGSTREET,SIDE,FROMSTREET,DIRECTION,SITEID,WARD,BIA,ASSETTYPE,STATUS,SDE_STATE_ID,X,Y,LONGITUDE,LATITUDE,geometry
5915029,2097,BP-19631,285,Victoria St,Victoria St,East,Dundas St W,North,,13.0,Downtown Yonge,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.3797659028, 43.6569356645)}"
5915030,2098,BP-19632,285,Victoria St,Victoria St,East,Dundas St W,North,,13.0,Downtown Yonge,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.3797781414, 43.6569658229)}"
5915031,2100,BP-19635,203,Queens Quay W,Queens Quay W,South,York St,West,,10.0,The Waterfront,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.3807498174, 43.6397522729)}"
5915032,2101,BP-19636,203,Queens Quay W,Queens Quay W,South,York St,West,,10.0,The Waterfront,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.3807888915, 43.6397424212)}"
5915033,2106,BP-19642,1,Queens Quay W,Queens Quay W,South,Yonge St,West,,10.0,The Waterfront,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.374758791, 43.6417572328)}"
5915034,2107,BP-19644,1,Queens Quay W,Queens Quay W,South,Yonge St,West,,10.0,The Waterfront,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.3748290695, 43.6417332671)}"
5915035,2108,BP-19645,1,Queens Quay W,Queens Quay W,South,Yonge St,West,,10.0,The Waterfront,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.3749580726, 43.641692263)}"
5915036,2109,BP-19646,1,Scott St,Scott St,East,The Esplanade,North,,13.0,St. Lawrence Market Neighbourhood,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.3753623501, 43.6467775603)}"
5915037,2111,BP-19648,38,The Esplanade,The Esplanade,North,Scott St,East,,13.0,St. Lawrence Market Neighbourhood,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.3746868869, 43.6466598762)}"
5915038,2112,BP-19649,38,The Esplanade,The Esplanade,North,Scott St,East,,13.0,St. Lawrence Market Neighbourhood,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.3746532545, 43.6466730263)}"
5915039,2113,BP-19650,38,The Esplanade,The Esplanade,North,Scott St,East,,13.0,St. Lawrence Market Neighbourhood,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.3746214948, 43.6466857824)}"
5915040,2114,BP-19652,98,The Esplanade,The Esplanade,North,Market St,West,,13.0,St. Lawrence Market Neighbourhood,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.3724741891, 43.6477090767)}"
5915041,2115,BP-19653,98,The Esplanade,The Esplanade,North,Market St,West,,13.0,St. Lawrence Market Neighbourhood,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.3724965122, 43.647698345)}"
5915042,2116,BP-19654,98,The Esplanade,The Esplanade,North,Market St,West,,13.0,St. Lawrence Market Neighbourhood,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.3725212753, 43.6476885791)}"
