"stName","trafficCountAvg","trafficlightCount","bikeStationCount","subwayStationCount","bikeShopCount"
"wilson ave",2797.21875,4,0,1,0
"wilson heights blvd",633.65625,1,0,0,0
"wilton st",699.125,2,0,0,0
"wimbleton rd",48.125,1,0,0,0
"windermere ave",1377.5,3,2,0,0
"windsor ave",83.4375,2,0,0,0
"winnett ave",89.84375,1,0,0,0
"winona dr",436.4375,3,1,0,0
"woodbine ave",1623.75,4,1,1,0
"woodfield rd",566.375,3,0,0,0
"woodfield rd.",286.40625,1,0,0,0
"woodlawn ave",370.3125,1,0,0,0
"woodycrest ave",33.84375,1,0,0,0
"wyndcliff cres",60.65625,1,0,0,0
"yatescastle dr",86.09375,1,0,0,0
"yonge st",8642.09375,19,1,0,5
"york st",555.5,1,1,0,0
"yorkview dr",266.28125,1,0,0,0
"yorkville ave",217.5625,1,1,0,0
