street1,street2,avg
merrill ave e,woodbine ave,248.71875
merton st,yonge st,386.46875
middlefield rd,steeles ave,583.34375
midland ave,reeve ave,144.25
midland ave,sheppard ave,688.53125
military tr,neilson rd,300.71875
mill st,parliament st,298.96875
mill st,trinity st,132.4375
monarch park ave,sammon ave,35.375
morningside ave,sheppard ave,732.03125
mount pleasant rd,roehampton ave,384.625
mount pleasant rd,soudan ave,461.84375
mount pleasant rd,st clair ave,569.375
mulberry cres,winona dr,35.75
musgrave st,victoria park ave,434.0625
north queen st,the east mall,534
nymark ave,shaughnessy blvd,48.65625
o connor dr,sunrise ave,330.40625
oakwood ave,rosemount ave,211.75
ontario st,queen st,167.96875
ontario st,richmond st,303.875
ontario st,shuter st,142.53125
overbrook pl,wilmington ave,190.53125
overlea blvd,thorncliffe park dr w,487.03125
parfield dr,shaughnessy blvd,23.40625
parliament st,queen st,342.5625
parliament st,richmond st,402.3125
parliament st,shuter st,304.6875
paulson rd,trethewey dr,253.71875
pharmacy ave,st clair ave,731.96875
progress ave,rosebank dr,148.1875
provost dr,singer crt,136.53125
queen st,river st,287.375
queen st,sumach st,211.28125
queen st,woodfield rd,144.5
queen st w,university ave,784.5625
queens park cr e,wellesley st w,426.28125
rathburn rd,the wynd,141.375
redpath ave,soudan ave,219.75
river st,shuter st,165.25
rogers rd,scott rd,366.125
rogers rd,silverthorn ave,315.28125
rosehill ave,yonge st,359.75
roxborough st e,yonge st,333.25
roxborough st w,yonge st,353.1875
royal york rd,yorkview dr,266.28125
runnymede rd,ryding ave,334.59375
ruscica dr,sloane ave,107.9375
russell st,st george st,273.34375
sackville st,shuter st,118.84375
sammon ave,woodbine ave,268.875
sammon ave,woodycrest ave,33.84375
sandhurst cir,white heather blvd,80.75
scott st,the esplanade,174.34375
scott st,wellington st,212.96875
scrivener sq,yonge st,356.0625
selwyn ave,westview blvd,36.8125
shaughnessy blvd,sheppard ave e,479.75
shaughnessy blvd,silkwood cres,47.03125
sheppard ave,w r allen rd,1287.6875
sheppard ave,wilson heights blvd,633.65625
shuter st,sumach st,105.65625
spenvalley dr,yatescastle dr,86.09375
st clair ave,tweedsmuir ave,339.09375
st clair ave,warden ave,791.59375
st clair ave,winona dr,348.0625
st clair ave,yonge st,743.6875
st georges rd,wimbleton rd,48.125
steeles ave,townsend rd,634.625
steeles ave,warden ave,844.84375
tedder st,thurodale ave,24.25
the esplanade,frederick st,168.875
the esplanade,princes st,182.625
the esplanade,yonge st,412.53125
the queensway,windermere ave,361.25
the westway,trehorne dr,152.09375
torrington dr,wellesworth dr,87.0625
warden ave,upton rd,341.21875
wellington st,yonge st,498.625
woodlawn ave,yonge st,370.3125
yonge st,gardiner expy w/b off-ramp,245.125
yonge st,keewatin ave,418.40625
yonge st,yorkville ave,217.5625
york st,gardiner expy ramp,555.5
